date,actual,prediction,error,abs_error,ape_percent
2023-05-14,70366.0,79987.94533673821,9621.945336738208,9621.945336738208,13.674139977742389
2023-05-16,77436.0,67843.03227485235,-9592.967725147653,9592.967725147653,12.388253170550717
2023-05-17,79207.0,68989.40159165626,-10217.598408343736,10217.598408343736,12.899867951498903
2023-05-18,66820.0,66351.26026649706,-468.7397335029382,468.7397335029382,0.7014961590885037
2023-05-19,85297.0,69558.82060193391,-15738.179398066088,15738.179398066088,18.451035086891785
2023-05-20,84539.0,82521.24602974435,-2017.7539702556533,2017.7539702556533,2.3867729335048358
2023-05-22,78349.0,70338.93890749273,-8010.061092507269,8010.061092507269,10.22356519228997
2023-05-23,75875.0,74300.47946723207,-1574.5205327679287,1574.5205327679287,2.0751506197929865
2023-05-24,74995.0,74249.73949163339,-745.2605083666131,745.2605083666131,0.9937469276173252
2023-05-25,74583.0,67354.06672184519,-7228.933278154815,7228.933278154815,9.692467825315171
2023-05-26,79486.0,74887.52383837201,-4598.476161627987,4598.476161627987,5.785265533085054
2023-05-27,88604.0,84713.6337590707,-3890.366240929303,3890.366240929303,4.390734324555667
2023-05-28,88604.0,77477.09604659752,-11126.903953402478,11126.903953402478,12.558015386892778
2023-05-29,78126.0,75688.85608979163,-2437.1439102083677,2437.1439102083677,3.1195042754119857
2023-05-30,75871.0,74585.63224784393,-1285.3677521560749,1285.3677521560749,1.694148953033537
2023-05-31,80284.0,74562.13738116225,-5721.862618837753,5721.862618837753,7.127027326537981
2023-06-01,62407.0,68601.47178082906,6194.471780829059,6194.471780829059,9.925924625168745
2023-06-02,76963.0,71545.04461947747,-5417.95538052253,5417.95538052253,7.039688396401555
2023-06-03,85366.0,83681.97468644366,-1684.0253135563398,1684.0253135563398,1.9727119855168802
2023-06-04,87434.0,82292.95366021816,-5141.0463397818385,5141.0463397818385,5.87991666832335
2023-06-05,79974.0,75467.42536953924,-4506.57463046076,4506.57463046076,5.635049679221697
2023-06-06,78030.0,73987.76864291396,-4042.2313570860424,4042.2313570860424,5.180355449296479
2023-06-07,75229.0,74515.45409327948,-713.5459067205229,713.5459067205229,0.9484984603284942
2023-06-08,70160.0,66184.39906146372,-3975.600938536285,3975.600938536285,5.6664779625659705
2023-06-09,74502.0,72573.74855496654,-1928.2514450334565,1928.2514450334565,2.5881874916558703
2023-06-10,88626.0,84179.20645766167,-4446.7935423383315,4446.7935423383315,5.017481937962146
2023-06-11,92238.0,85239.94839847446,-6998.051601525542,6998.051601525542,7.58695071611
2023-06-12,79087.0,75733.69679480711,-3353.3032051928894,3353.3032051928894,4.240018214362524
2023-06-13,75227.0,73957.18131829973,-1269.8186817002716,1269.8186817002716,1.6879826148859738
2023-06-14,78487.0,73875.85711722769,-4611.142882772314,4611.142882772314,5.875040303199656
2023-06-15,70896.0,67367.03036397927,-3528.969636020731,3528.969636020731,4.977671005445626
2023-06-16,72299.0,72235.98547719963,-63.01452280036756,63.01452280036756,0.08715822182930269
2023-06-17,87762.0,83368.16998251661,-4393.830017483386,4393.830017483386,5.006529041593612
2023-06-18,86181.0,85431.91859485948,-749.0814051405177,749.0814051405177,0.8691955363021057
2023-06-19,69879.0,73056.71899643613,3177.7189964361314,3177.7189964361314,4.547459174338687
2023-06-20,71935.0,71932.51705965959,-2.4829403404146433,2.4829403404146433,0.0034516443183633047
2023-06-21,77120.0,73043.63530349602,-4076.3646965039807,4076.3646965039807,5.285742604387942
2023-06-22,67294.0,66558.3772788934,-735.6227211065998,735.6227211065998,1.0931475630912113
2023-06-23,72304.0,70363.79516348986,-1940.2048365101364,1940.2048365101364,2.6833990325710007
2023-06-24,83889.0,82763.73364073965,-1125.2663592603494,1125.2663592603494,1.3413753403430122
2023-06-25,87407.0,83622.03462794232,-3784.9653720576753,3784.9653720576753,4.330277176951132
2023-06-26,73156.0,73057.36316274066,-98.63683725934243,98.63683725934243,0.13483082352690473
2023-06-27,69143.0,71373.0101531774,2230.010153177398,2230.010153177398,3.225214632251129
2023-06-28,71615.0,72477.08810968815,862.0881096881494,862.0881096881494,1.203781483890455
2023-06-29,62005.0,65524.733901417,3519.7339014169993,3519.7339014169993,5.676532378706555
2023-06-30,73572.0,68511.22928680848,-5060.770713191523,5060.770713191523,6.87866404772403
2023-07-01,82999.0,81445.94489238833,-1553.055107611668,1553.055107611668,1.871173276318592
2023-07-02,82999.0,81535.70091628893,-1463.2990837110701,1463.2990837110701,1.7630321855818385
2023-07-03,66077.0,70421.08874051743,4344.088740517429,4344.088740517429,6.574282640733431
2023-07-04,76254.0,68376.92898068599,-7877.071019314011,7877.071019314011,10.330043039465485
2023-07-05,77299.0,70259.59976732059,-7039.400232679414,7039.400232679414,9.106715782454385
2023-07-06,66977.0,65207.78831156929,-1769.2116884307106,1769.2116884307106,2.6415212512216293
2023-07-07,69483.0,70025.41997821807,542.4199782180658,542.4199782180658,0.7806513510039373
2023-07-08,86781.0,82009.2414631332,-4771.758536866793,4771.758536866793,5.498621284459493
2023-07-09,88836.0,84375.02396248224,-4460.9760375177575,4460.9760375177575,5.021585885809534
2023-07-10,64347.0,71918.70142463392,7571.701424633924,7571.701424633924,11.76698435767623
2023-07-12,72664.0,72806.14042224338,142.14042224337754,142.14042224337754,0.1956132641244324
2023-07-13,67300.0,65429.49593880293,-1870.504061197069,1870.504061197069,2.779352245463698
